	language	split	speaker id	native language	raised in	dialect	sex	age	occupation	cold or allergy	smoker	supervisor	record date	topic article	tapelabel	record place	environment noise	record conditions	comments
HRV043	HRV	train	043 	Bosnian 	Sarajevo, Bosnia-Hercegovina 	Bosnian 	female 	19 	student	well 	nonsmoking 	Sanela HABIBIJA 	August 11, 1996		cro5 	private small 	middle 	Strassengeraeusche 	 
HRV067	HRV	train	067 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	40 	salesperson	well 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro7 	private small 	quiet 	keine Zuhoerer 	 
HRV085	HRV	train	085 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	male 	39 	civil engineer	well 	smoking 	Sanela HABIBIJA 	NaN		cro11 	Wohnzimmer 	middle 	4 Personen sitzen am Tisch 	Geraeusche im Hintergrund (die Tuer geht auf, das Kind ruft seine Mutter); Papierrascheln 
HRV078	HRV	train	078 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	male 	42 	salesperson	well 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private big 	quiet 	keine zuhoerer 	 
HRV036	HRV	train	036 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	27 	economist	well 	nonsmoking 	Sanela HABIBIJA 	August 09, 1996		cro5 	office small 	quiet 	ohne Zuhoerer 	 
HRV028	HRV	train	028 	Croatian 	Zagreb, Croatia 	Purgerian, street slang	male 	25 	musician	well 	smoking 	Sanela HABIBIJA 	August 07, 1996		cro4 	office small 	quiet 	keine Zuhoerer 	 
HRV082	HRV	train	082 	Bosnian 	Sarajevo, Bosnia-Hercegovina 	Bosnian 	female 	35 	worker	well 	smoking 	Sanela HABIBIJA 	August 14, 1996		cro9 	private small 	quiet 	 	 
HRV072	HRV	train	072 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	40 	homemaker	well 	nonsmoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private small 	quiet 	einige Zuhoerer 	 
HRV079	HRV	train	079 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	23 	homemaker	well 	smoking 	Sanela HABIBIJA 	August 14, 1996		cro9 	private small 	quiet 	 	 
HRV024	HRV	train	024 	Croatian 	Zagreb, Croatia 	Standard Croatian 	female 	65 	lawyer	sick 	nonsmoking 	Sanela HABIBIJA 	August 06, 1996		cro3 	private small 	quiet 	sehr entspannt 	 
HRV060	HRV	train	060 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	19 	student	well 	nonsmoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private small 	quiet 	 	 
HRV001	HRV	train	001 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	27 	student	well 	smoking 	Sanela HABIBIJA 	August 03, 1996		cro1 	private small 	quiet 	keine anderen Zuhoerer 	 
HRV003	HRV	train	003 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	65 	pensioner	well 	nonsmoking 	Sanela HABIBIJA 	August 03, 1996		cro1 	private small 	quiet 	keine anderen Zuhoerer 	 
HRV031	HRV	train	031 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	17 	student	well 	smoking 	Sanela HABIBIJA 	August 07, 1996		cro4 	private small 	loud 	noch jemand anwesend 	Strassengeraeusche unvermeidbar 
HRV050	HRV	train	050 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	male 	18 	student	well 	smoking 	Sanela HABIBIJA 	August 12, 1996		cro6 	private big 	quiet 	mehrere Zuhoerer 	 
HRV073	HRV	train	073 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	20 	nursery-school teacher	sick 	nonsmoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private big 	quiet 	ein Zuhoerer 	 
HRV048	HRV	train	048 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	24 	student	well 	smoking 	Sanela HABIBIJA 	August 12, 1996		cro6 	private small 	quiet 	 	 
HRV027	HRV	train	027 	Bosnian 	Nothern Bosnia 	Northern Bosnian 	male 	24 	unemployed	well 	smoking 	Sanela HABIBIJA 	August 05, 1996		cro4 	office small 	quiet 	ohne Zohoerer 	 
HRV007	HRV	train	007 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	female 	NaN	architect	well 	nonsmoking 	Sanela HABIBIJA 	August 04, 1996		cro1 	private small 	quiet 	keine anderen Zuhoerer 	 
HRV018	HRV	train	018 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	27 	student	well 	smoking 	Sanela HABIBIJA 	August 09, 1996		cro2 	private big 	quiet 	ohne Zuhoerer 	 
HRV080	HRV	train	080 	Bosnian 	Sarajevo, Bosnia-Hercegovina 	Bosnian 	female 	43 	homemaker	well 	nonsmoking 	Sanela HABIBIJA 	August 14, 1996		cro9 	private small 	quiet 	 	 
HRV092	HRV	train	092 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	male 	31 	qualified electrical engineer	well 	nonsmoking 	Sanela HABIBIJA 	NaN		cro12 	Wohnzimmer 	middle 	Person sitzt alleine am Tisch 	Im Zimmer nebenan reden die Leute; die Tuer geht auf und zu ...   
HRV045	HRV	train	045 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	47 	nurse	well 	smoking 	Sanela HABIBIJA 	August 11, 1996		cro6 	private small 	quiet 	 	 
HRV002	HRV	train	002 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	female 	18 	student	well 	smoking 	Sanela HABIBIJA 	August 03, 1996		cro1 	private small 	quiet 	keine anderen Zuhoerer 	 
HRV075	HRV	train	075 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	21 	student	sick 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private big 	quiet 	keine Zuhoerer 	 
HRV032	HRV	train	032 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	female 	25 	economist	well 	nonsmoking 	Sanela HABIBIJA 	August 07, 1996		cro4 	private big 	quiet 	ohne Zuhoerer 	 
HRV055	HRV	train	055 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	50 	teacher	well 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private small 	quiet 	 	 
HRV040	HRV	train	040 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	31 	athlete	well 	nonsmoking 	Sanela HABIBIJA 	August 10, 1996		cro5 	private small 	quiet 	ohne Zuhoerer 	 
HRV008	HRV	train	008 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	19 	student	well 	nonsmoking 	Sanela HABIBIJA 	August 04, 1996		cro2 	private small 	quiet 	sehr entspannt 	 
HRV071	HRV	train	071 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	31 	salesperson	well 	nonsmoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private small 	quiet 	keine Zuhoerer 	 
HRV020	HRV	train	020 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	16 	student	well 	nonsmoking 	Sanela HABIBIJA 	August 06, 1996		cro3 	private small 	quiet 	keine Zuhoerer 	 
HRV046	HRV	train	046 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	21 	student	well 	smoking 	Sanela HABIBIJA 	August 12, 1996		cro6 	private small 	quiet 	 	 
HRV022	HRV	train	022 	Croatian 	Dalmatien, Croatia 	Shtokav 	female 	28 	anesthesiologist	well 	smoking 	Sanela HABIBIJA 	August 06, 1996		cro3 	private small 	quiet 	 	 
HRV021	HRV	train	021 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	12 	student	well 	nonsmoking 	Sanela HABIBIJA 	August 06, 1996		cro3 	private small 	quiet 	keine Zuhoerer 	 
HRV014	HRV	train	014 	Croatian 	Nothern Bosnia 	Standard Croatian 	female 	41 	homemaker	sick 	nonsmoking 	Sanela HABIBIJA 	August 05, 1996		cro2 	private big 	middle 	Ein Nachbar baut sein Haus um 	 
CZE011	CZE	train	011	Czech	NaN	common Czech	female	47	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK 100
CZE036	CZE	train	036	Czech	NaN	common Czech	male	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský 111
CZE026	CZE	train	026	Czech	NaN	common Czech	male	25	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK 140
CZE100	CZE	eval	100	Czech	NaN	common Czech	female	25	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Praha 104
CZE091	CZE	dev	091	Czech	NaN	common Czech	female	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Èeské Budìjovice ráèkuje 103
CZE023	CZE	train	023	Czech	NaN	common Czech	female	25	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK 140
CZE082	CZE	train	082	Czech	NaN	common Czech	female	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík nic 29
CZE008	CZE	train	008	Czech	NaN	common Czech	male	27	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK UFAL II.3 nic 69
CZE010	CZE	train	010	Czech	NaN	common Czech	male	51	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK nic 2
CZE037	CZE	train	037	Czech	NaN	common Czech	male	25	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský Liberec, ¹patné ø, kolej, pr¹elo 140
CZE061	CZE	train	061	Czech	NaN	common Czech	female	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Ostrava 104
CZE004	CZE	train	004	Czech	NaN	common Czech	female	58	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK UFAL nic 140
CZE086	CZE	eval	086	Czech	NaN	common Czech	male	19	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Ústí nad Labem 103
CZE094	CZE	eval	094	Czech	NaN	common Czech	male	47	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Kolín 103
CZE009	CZE	train	009	Czech	NaN	common Czech	male	22	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK nic 140
CZE075	CZE	train	075	Czech	NaN	common Czech	male	22	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Kyjov 104
CZE084	CZE	eval	084	Czech	NaN	common Czech	male	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Praha 104
CZE083	CZE	dev	083	Czech	NaN	common Czech	male	19	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Praha 103
CZE027	CZE	train	027	Czech	NaN	common Czech	male	22	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský nic 37
CZE041	CZE	train	041	Czech	NaN	common Czech	female	18	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský nic 117
CZE062	CZE	train	062	Czech	NaN	common Czech	male	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek ïár nad Sázavou 104
CZE080	CZE	train	080	Czech	NaN	common Czech	male	18	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík bruèoun 54
CZE031	CZE	train	031	Czech	NaN	common Czech	male	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský nic 140
CZE032	CZE	train	032	Czech	NaN	common Czech	female	24	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský nic 140
CZE063	CZE	train	063	Czech	NaN	common Czech	male	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Zlín 104
CZE050	CZE	train	050	Czech	NaN	common Czech	female	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský Ji¾ní Èechy, kolej 140
CZE024	CZE	train	024	Czech	NaN	common Czech	female	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský Slovácko, kolej, foukal vítr 140
CZE099	CZE	dev	099	Czech	NaN	common Czech	male	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Praha 103
CZE012	CZE	train	012	Czech	NaN	common Czech	male	17	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK 100
CZE005	CZE	train	005	Czech	NaN	common Czech	male	28	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK Pankrác nic 140
CZE034	CZE	train	034	Czech	NaN	common Czech	female	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský nic 36
CZE040	CZE	train	040	Czech	NaN	common Czech	female	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský kolej 140
CZE025	CZE	train	025	Czech	NaN	common Czech	male	74	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK 140
CZE014	CZE	train	014	Czech	NaN	common Czech	female	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK 140
CZE019	CZE	train	019	Czech	NaN	common Czech	male	33	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK 140
CZE065	CZE	train	065	Czech	NaN	common Czech	male	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Èeské {Budìjovice;} sykavky 104
CZE064	CZE	train	064	Czech	NaN	common Czech	male	22	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Dvùr Králové n. L. 100
CZE073	CZE	train	073	Czech	NaN	common Czech	female	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Písek 104
CZE079	CZE	train	079	Czech	NaN	common Czech	female	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Beneovsko 102
CZE097	CZE	dev	097	Czech	NaN	common Czech	female	16	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Praha 103
CZE074	CZE	train	074	Czech	NaN	common Czech	male	23	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Kyjov 104
CZE085	CZE	dev	085	Czech	NaN	common Czech	male	22	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Beneovsko 103
CZE022	CZE	train	022	Czech	NaN	common Czech	male	47	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK 140
CZE006	CZE	train	006	Czech	NaN	common Czech	female	26	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK Ufal II.3 nic 140
CZE060	CZE	train	060	Czech	NaN	common Czech	male	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek ternberk (Olomouc) 104
CZE096	CZE	eval	096	Czech	NaN	common Czech	male	18	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Praha 103
CZE069	CZE	train	069	Czech	NaN	common Czech	female	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Blansko 104
CZE046	CZE	train	046	Czech	NaN	common Czech	female	25	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský nic 47
CZE067	CZE	train	067	Czech	NaN	common Czech	male	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Frýdek Místek 104
CZE078	CZE	train	078	Czech	NaN	common Czech	male	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Praha 27
CZE017	CZE	train	017	Czech	NaN	common Czech	female	46	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK 140
CZE052	CZE	train	052	Czech	NaN	common Czech	male	22	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský Ostrava, velmi ¹patná artikulace 140
CZE071	CZE	train	071	Czech	NaN	common Czech	female	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Vrchlabí 104
CZE092	CZE	eval	092	Czech	NaN	common Czech	female	19	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Kolín 103
CZE028	CZE	train	028	Czech	NaN	common Czech	female	24	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský nic 141
CZE047	CZE	train	047	Czech	NaN	common Czech	male	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský nic 140
CZE095	CZE	dev	095	Czech	NaN	common Czech	male	18	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík okr.Kolín 103
CZE053	CZE	train	053	Czech	NaN	common Czech	male	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek okr. Pøíbram 99
CZE089	CZE	dev	089	Czech	NaN	common Czech	female	18	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík nic 3
CZE057	CZE	train	057	Czech	NaN	common Czech	female	48	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Dvùr Králové n.L 100
CZE088	CZE	eval	088	Czech	NaN	common Czech	female	69	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Praha 103
CZE087	CZE	dev	087	Czech	NaN	common Czech	female	44	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Praha 103
CZE059	CZE	train	059	Czech	NaN	common Czech	female	46	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek nic Dvùr Králové {n.L.;} patná výsl. sykavek 100
CZE048	CZE	train	048	Czech	NaN	common Czech	male	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský severní èechy 139
CZE056	CZE	train	056	Czech	NaN	common Czech	male	22	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Karlovy Vary 100
CZE066	CZE	train	066	Czech	NaN	common Czech	female	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Kyjov 104
CZE068	CZE	train	068	Czech	NaN	common Czech	female	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Podìbrady 104
CZE102	CZE	eval	102	Czech	NaN	common Czech	male	22	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík 103
CZE018	CZE	train	018	Czech	NaN	common Czech	female	26	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK 140
CZE039	CZE	train	039	Czech	NaN	common Czech	male	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský ventilátor 140
CZE076	CZE	train	076	Czech	NaN	common Czech	male	25	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Olomouc 104
CZE015	CZE	train	015	Czech	NaN	common Czech	male	17	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK 140
CZE035	CZE	train	035	Czech	NaN	common Czech	female	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský nic 140
CZE033	CZE	train	033	Czech	NaN	common Czech	male	18	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský nic 140
CZE016	CZE	train	016	Czech	NaN	common Czech	male	48	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK nar. v Prostìjovì 140
CZE054	CZE	train	054	Czech	NaN	common Czech	male	23	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Macháèek Jablonec nad Nisou 100
CZE044	CZE	train	044	Czech	NaN	common Czech	male	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský kolej 140
CZE093	CZE	dev	093	Czech	NaN	common Czech	male	20	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Kolín 103
CZE029	CZE	train	029	Czech	NaN	common Czech	female	19	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Podveský nic 125
CZE038	CZE	train	038	Czech	NaN	common Czech	male	21	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	Mrva spatna vyslovnost 140
CZE101	CZE	dev	101	Czech	NaN	common Czech	female	18	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	general news from Lidove Noviny newspaper	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	evèík Praha 103
CZE007	CZE	train	007	Czech	NaN	common Czech	male	33	NaN	NaN	nonsmoking	Hajic/Peterek	August 1998	economic news from Ceskomoravsky Profit Journal	notape	NaN	quiet	Sennheiser HMD410 close-talking microphone	JK U Michala nic 140
